ClauseLikeUnit(CLU)-value,Duration,Question,Eye&Brow-value,Head-value,MouthGestF-value,MouthGestF-question,Mouthing-value,Mouthing-question,Q-manual-value,Q-nonmanual-value,Q-position-value,Q-semantic-value,Q-social action-value,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,CA-value,RH-IDgloss-value,LH-IDgloss-value,LitTransl-value,FreeTransl-value,Comments-value
BL10F44WHC_CLU#044,2185,Initiating,null,"Nod, Null, Nod",NA,NA,"like, deaf, aware",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"MEANING, DEAF, KNOW, G:WELL, MAYBE","MEANING, FBUOY, G:WELL, MAYBE",mean deaf awareness sort-of?,Is it in the lines of deaf awareness?,
BL10F44WHC_CLU#045,1873,Continuing,null,"Null, Nod",NA,NA,"like, confidence",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,OIR-restricted,Single,NA,NA,NA,"SAME, ENCOURAGE, CONFIDENT, PT:PRO2SG, G:WELL","SAME, ENCOURAGE, FBUOY",like encouraging confidence you?,You're trying to instil some confidence?,
BL10F44WHC_CLU#047,1551,Continuing,down,Backward,NA,NA,"how long, work",Single,Single,Present,post-predicate (non-reprise & clause-final),Content,request information,Single,NA,NA,NA,"LONG, WORK, SINCE, PT:PRO2SG","WORK, SINCE",how-long (you) work-there since-then you?,How long have you worked there?,
BL10F44WHC_CLU#077,1443,Continuing,up,Null,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,PT:PRO1SG,,me? (how long did I study?),It was two years for me with twelve units per year so that's twenty four units in total.,
BL10F44WHC_CLU#079,3053,Continuing,up,Null,NA,NA,"twelve, unit, for, one year",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"G:ERM, TWO, TWELVE04, UNIT, ONE, YEAR","G:ERM, FBUOY, UNIT, YEAR",erm 12 units (have) one year (you know?),It was two years for me with twelve units per year so that's twenty four units in total.,
BL10F44WHC_CLU#101,2147,Continuing,up,"Backward, Forward",NA,NA,"but, school, me, what",Single,Single,Present,post-predicate (non-reprise & clause-final),Other,rhetorical,Single,NA,NA,CA:SIGNER,"BUT, G:HEY, BUT, GO-IN, SCHOOL02, PT:PRO1SG, WHAT",GO-IN,but hey -- but in school me what,Actually I had always thought that we signed at school.,
BL10F44WHC_CLU#104,3336,Continuing,down,Null,NA,NA,"when, sister, sister-prog, have, have-prog",Single,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CA:SIGNER,"OVER-TIME, WHEN, PT:POSS1SG, SISTER, PT:DET, HAVE, PROJECTOR02","OVER-TIME, FBUOY, HAVE, PROJECTOR02",time-went-on when my sister there have film projector,My sister had brought our Mother's old cine projector.,"GH: possibly this utterance the signer intended to say something about when, but then changed direction a bit to talk about what."
LN05M58WDC_CLU#002,1665,Continuing,null,Null,NA,NA,"west, ham",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, WAR, FS:W-WEST, FS:H-HAM, AGAINST","WAR, FS:W-WEST, FS:H-HAM, AGAINST",that match West Ham against (another team),I went to watch West Ham's game last week with my little boy who found it exciting.,"HP:Unsure if the PT: is part of this NP 'that match'. Perhaps not, because if it were, it would be annotated PT:DET?, HP:Proper noun, AS Unsure of arg/macrorole"
LN05M58WDC_CLU#015,2070,Continuing,"up, down","Null, Forward, HS",PRESSED-LIPS,YES,"tomorrow, again",NA,Absent,Present,NA,Polar,rhetorical,Single,NA,NA,NA,"TOMORROW, PT:, AGAIN, AGAINST, NO","AGAINST, NO",tomorrow they again challenge-match? no,I'm not attending tomorrow's game but the papers are reporting less attendance.,"GH: question-answer internal response frame, GH: negation is internal response frame"
LN05M58WDC_CLU#053,1275,Continuing,down,Down,NA,NA,"you, support, who",Single,Multiple,Present,other,Content,request information,Single,NA,NA,NA,"PT:PRO2SG, FAVOUR, WHO, PT:PRO2SG",FAVOUR,you support who you?,Who do you support?,RA: The participant is using the lip pattern 'Support'. Should Sign Bank add 'SUPPORT' in the synonyms of 'FAVOUR' or should we replace the word 'FAVOUR' with 'SUPPORT'?
LN05M58WDC_CLU#054,525,Initiating,up,Down,NA,NA,Middlesb(rough),NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,FS:MIDDLESBROUGH(MD),FS:MIDDLESBROUGH(MD),Middlesbrough (fingerspelling MD as your sign)?,Is this the sign for Middlesbrough?,
LN05M58WDC_CLU#055,1025,Continuing,down,"Nod, Null",NA,NA,"thought, Middlesbrough",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"THINK, PT:PRO3SG, SN:MIDDLESBROUGH",FBuoy,me thought (sign is) Middlesbrough (signing Middlesbrough),Is this the sign for Middlesbrough?,
LN05M58WDC_CLU#086,290,Initiating,up,Down,NA,NA,you,NA,Single,Present,other,Polar,OIR-restricted,Single,NA,NA,NA,,PT:PRO2SG,(oh did) you?,Did you?,
LN05M58WDC_CLU#102,2945,Continuing,"null, down",Null,NA,NA,"friend, name, Tony, Star",NA,Absent,Present,NA,Polar,request confirmation,Embed,pre-container,NA,NA,"LATER, PT:POSS1SG, FRIEND, NAME, FS:TONY, SN:STAR(ADD-TO-SIGNBANK)","FRIEND, FS:TONY, SN:STAR(ADD-TO-SIGNBANK)",later my friend named Tony Starr (you know),I had not much information and it was not until my friend Tony Starr who came to ask me with his father to a game at West Ham.,
LN05M58WDC_CLU#114,2550,Continuing,null,"Null, Up , Nod",NA,NA,"but, wembley",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, STADIUM, DSS(2), PT:PRO1SG, GO-IN","STADIUM, DSS(2), FBuoy, GO-IN",but Wembley (you know?) arch-along-there (yes) me inside (visit there),I've not been to the Emirates stadium yet but I've been to Wembley with it's famous arch however it's too good for England's recent performances!,
BM21F44WDC_CLU#002,3081,Initiating,down,"Null, Down, Null",SYLL:OH,NO,"ninety-seven, where",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,"NINE(FALSE-START), PT:PRO2SG, NINETY-SEVEN(NINE^SEVEN03), PT:PRO2SG, WHERE, PT:PRO2SG",,nine-- you ninety-seven you where you?,Where did you go in ninety seven?,AS Unsure about question signs and whether to treat them as arguments?
BM21F44WDC_CLU#003,1017,Continuing,up,Nod,NA,NA,"Austral(ia), then",NA,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"PT:LOC, AND",PBUOY,(you) there (Australia) then-where?,"Australia, then..?",MattB: Is this AND or is it a moving pointer?
BM21F44WDC_CLU#004,1152,Initiating,up,Null,NA,NA,"different, or same",NA,Absent,Present,NA,Alternative,request confirmation,Single,NA,NA,NA,"DIFFERENT, SAME","DIFFERENT, SAME",different (or) same?,Was it different or the same?,AS Unsure about the argument structure here!
BM21F44WDC_CLU#008,751,Initiating,up,Null,NA,NA,same,NA,Absent,Present,NA,Polar,request confirmation,SharedCecho,NA,NA,NA,SAME,SAME,same?,"Oh, the same.",
BM21F44WDC_CLU#012,2029,Continuing,down,Nod,NA,NA,famous,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO3SG, FAMOUS, PT:PRO3SG",,that famous that (yes)?,"That's famous, isn't it?",
BM21F44WDC_CLU#023,362,Initiating,up,Down,NA,NA,oh really,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,TRUE,TRUE,really?,Really?,
BM21F44WDC_CLU#028,3636,Continuing,up,"Null, Nod",NA,NA,"oh Neil, feel",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"GOOD, SN:N-NEIL, FEEL, GOOD, AREA, GOOD, INDECIPHERABLE",,good Neil feel good area good?,What did Neil think - did he like it?,
BM21F44WDC_CLU#031,1961,Initiating,up,Nod,NA,NA,"you, you",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, WIN, PT:PRO2SG",,you won you (yes)?,And you won?,
BM21F44WDC_CLU#032,2307,Continuing,up,Null,NA,NA,"feel, what, feel",Single,Multiple,Present,reprise (clause-final),Content,request information,Single,NA,NA,NA,"GOOD, FEEL, WHAT, PT:PRO2SG, FEEL, WHAT",,great! (you) feel what you feel what well?,Yeah. How did that feel?,
BM21F44WDC_CLU#033,1473,Continuing,up,HS,NA,NA,NA,NA,Absent,Present,NA,Other,request information,Fragment,NA,NA,NA,G:WELL,G:WELL,how--?,Yeah. How did that feel?,
BM21F44WDC_CLU#037,1717,Continuing,squint,Forward,NA,NA,captain,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, STAFF, PT:PRO2SG","STAFF, FBUOY",he captain him? (was he team captain?),Was he captain?,
"BM21F44WDC_CLU#042, BM21F44WDC_CLU#043",2714,Initiating,up,Sideward,NA,NA,"UNSURE, profess(ional), same, hearing, olympics",NA,Absent,Present,NA,Polar,request confirmation,"Single, Single",NA,NA,NA,"PT:PRO3SG, PROFESSIONAL, PT:PRO, SAME, HEARING, OLYMPIC, PT:PRO3SG, NO","PROFESSIONAL, FBUOY, SAME, PBUOY/FBUOY, OLYMPIC","they/that (was) professional, same hearing Olympics that (or) no?",Was it as professional as the hearing Olympics?,
BM21F44WDC_CLU#049,6154,Initiating,down,Null,PRESSED-LIPS,YES,"you, feel, worse, which, country",Single,Single,Present,post-predicate (non-reprise),Content,request information,Single,NA,NA,NA,"PT:PRO2SG, G:HEY, PT:PRO2SG, GOOD, PT:PRO2SG, FEEL, PT:PRO3PL, WORSE, QUEUE03, WHICH, REGION, PT:PRO2SG","WORSE, QUEUE03, FBUOY",you -- good -- you feel they biggest/longest procession which country you?,Which country do you think had the biggest procession?,
BM21F44WDC_CLU#050,3634,Continuing,null,Null,NA,NA,you see,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, LOOK, MOVE02, PT:",MOVE02,(oh) you see country-processions-move-past you?,"Oh, you'll have seen them all go past?",
BM21F44WDC_CLU#052,3562,Initiating,down,HS,NA,NA,"who, which, country, top, medal",Single,Multiple,Present,reprise (non-clause-final),Content,request information,Single,NA,NA,NA,"WHO, ALL, WHICH, REGION, TOP, MEDALLION, ALL","TOP, FBUOY",who all which country top medals all?,Which country got the most medals?,"MattB: is this ALL or a looser/false-start variant of REGION?, MattB: see previous comment - or is it AREA?"
"BM21F44WDC_CLU#091, BM21F44WDC_CLU#092",1151,Continuing,up,HS,NA,NA,pub,NA,Absent,Present,NA,Polar,request confirmation,"Single, Single?",NA,NA,NA,"DRINK, WHAT",,"pub (not typical like ours), what (are the pubs like)?",And about their pubs...,GH: negation is internal response frame
BM21F44WDC_CLU#121,2156,Initiating,up,Nod,NA,NA,NA,NA,Absent,Present,NA,Content,OIR-restricted,Fragment,NA,NA,NA,"PT:PRO2SG, GOOD",,you -- (it's) good (yes)?,New Zealand is good?,
BM21F44WDC_CLU#122,2605,Initiating,"down, null","Forward, Null",PRESSED-LIPS,YES,Canada,NA,Absent,Present,NA,Alternative,request information,Single,NA,NA,NA,"PT:, CANADA, G:WELL, PT:LBUOYPL",LBUOY-FIVE,well Canada or others?,What about Canada?,
BM21F44WDC_CLU#127,2390,Continuing,up,Nod,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, FINISH, PT:PRO2SG",,you finish (those places) you?,And you..?,
BM21F44WDC_CLU#131,684,Initiating,up,Sideward,NA,NA,"you, want",NA,Absent,Present,NA,Polar,request confirmation,Single?,NA,NA,NA,"PT:PRO2SG, WANT, PT:PRO2SG",,you want you?,Do you want to go to Italy?,
BM21F44WDC_CLU#132,1464,Continuing,up,Null,NA,NA,"Italy, been, Italy",NA,Absent,Present,NA,Polar,request confirmation,Single?,NA,NA,NA,"ITALY, BEEN, PT:PRO2SG, ITALY, PT:PRO2SG",,Italy been you Italy you?,Have you been to Italy?,"EM: in my opinion here we have two questions, at the end of the first question as the recipient doesn't respond the questioner asks again. MB: I would consider this as one question; this sort of repetition is common in BSL, for sake of clarity. Respondent responds just as signer signs ITALY for the second time. GH: Agree with MB, looks like signer here already prepared to do repeat strategy, and not enough time given for other person to respond"
BM21F44WDC_CLU#133,1074,Continuing,up,Null,NA,NA,all,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"ALL, PT:PRO2SG",,(you been) all-over-there you?,Have you been all over?,
BM21F44WDC_CLU#137,2098,Initiating,up,Null,NA,NA,Sicily,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"G:ERM, FS:SICILY, PT:PRO2SG","FS:SICILY, FBUOY",Sicily you (been)?,Have you been to Sicily?,
BM21F44WDC_CLU#138,1629,Continuing,up,Null,NA,NA,Sardinia,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,FS:SARDINA,FS:SARDINA,Sardinia (you been)?,Sardinia?,
BM21F44WDC_CLU#141,1476,Continuing,up,Null,NA,NA,"you, last, night, watch",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO2SG, PT:LOC, NIGHT, PT:PRO2SG, LOOK, PT:PRO2SG","NIGHT, FBUOY",you last night you watch you?,Did you watch the thing about Sicily last night?,
LN23M33WDC_CLU#002,730,Initiating-NR,null,Null,NA,NA,what about,Single,Single,Present,pre-predicate,Content,outloud,Single,NA,NA,NA,"WHAT/TALK, THINK(FALSE-START)",,what (talk about)?/(what) talk (about)?,What shall we talk about?,
LN23M33WDC_CLU#003,1150,Initiating,up,Null,NA,NA,Yen,NA,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"SN:YEN, GOOD, PREGNANT",,Yen good pregnancy?,How's Yen and the bump?,
LN23M33WDC_CLU#004,800,Initiating,down,Null,NA,NA,why,Single,Absent,Present,NA,Content,OIR-restricted,Single,NA,NA,NA,M:WHY,,why (is she itchy during pregnancy)?,Why?,
LN23M33WDC_CLU#005,10920,Initiating,down,Sideward,NA,NA,"when, finish, work, work-prog",Single,Single,Present,pre-predicate,Content,OIR-restricted,Single,NA,NA,NA,"WHEN, FINISH03, WORK, PT:PRO3SG",FINISH03,when (does she) finish work she?,When will she finish working?,EM-OIR
LN23M33WDC_CLU#006,1475,Initiating,down,Down,NA,NA,"but, your, self",NA,Absent,Present,NA,Content,request information,Single,NA,NA,NA,"BUT, SELF, PT:PRO2SG",,but yourself you?,But what about yourself?,
LN23M33WDC_CLU#007,1968,Continuing,"down, up","Nod1 , Null, Down",NA,NA,"off, you, January, eighteen",NA,Single,Present,reprise (clause-final),Polar,request confirmation,Single,NA,NA,NA,"DISAPPEAR, PT:PRO2SG, FS:J-JANUARY, EIGHTEEN, PT:PRO2SG",,(you) off (work) you January 18th you?,Will you be off work from January 18th?,"MB: one-handed FS, AS Unsure about the CLU boundary here?"
LN23M33WDC_CLU#008,803,Continuing,up,Nod1,NA,NA,"you, off",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"PT:PRO2SG, DISAPPEAR",,you off (work by January 18th)?,"Will you be off from that date or from the birth of the baby, no?",AS Unsure about the CLU boundary here?
"LN23M33WDC_CLU#009, LN23M33WDC_CLU#010",3310,Continuing,"down, up, null, down","Null, Nod1 , Null, HS",NA,NA,"or, baby, born, you, off, start, then",NA,Absent,Present,NA,Alternative,request confirmation,Depend,NA,"dependent, independent",NA,"G:WELL, BABY, BORN, PT:PRO2SG, DISAPPEAR, START, PT:LOC, NO",,"or baby born , (then) you off (work) start then or no?","Will you be off from that date or from the birth of the baby, no?","AS macrorole?, AS Unsure V1 and V2 here?"
LN23M33WDC_CLU#019,2830,Continuing,up,Forward,NA,NA,"annual, leave, been, use",NA,Absent,Present,NA,Polar,request confirmation,Embed,contained,NA,CD:SIGNER,"PT:PRO2SG, FS:A-ANNUAL, FS:L-LEAVE, AT-LAST, USE02, REDUCE","FS:A-ANNUAL, FS:L-LEAVE, AT-LAST, REDUCE",you annual leave been used reducing days?,I'd ask them if they had used their Annual Leaves otherwise they'd build up a large number of Annual Leaves.,"JK: Is there a BEEN missing here?, EM: PT-hand"
LN23M33WDC_CLU#060,1395,Continuing-NR,down,HS,NA,NA,NA,NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Single,NA,NA,NA,"MONEY, RICH, G:WELL","MONEY, G:WELL",(it's) expensive you-know?,How can they when the economy is taking a nose-dive?,
LN23M33WDC_CLU#061,2470,Continuing,down,Null,NA,NA,"economy, economy-prog",NA,Single,Present,post-predicate (non-reprise & clause-final),Polar,request confirmation,Single,NA,NA,NA,"FS:E-ECONOMY, MONEY, DECLINE, G:WELL","FS:E-ECONOMY, MONEY, DECLINE, G:WELL",economy steep-decline you-know?,How can they when the economy is taking a nose-dive?,
LN23M33WDC_CLU#065,1235,Initiating,up,Nod1,NA,NA,"painting, that's it",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"DECORATE, THAT-IS-ALL",THAT-IS-ALL,(you are) painting-walls that's-it?,Are you planning just to paint the walls and not to put up any wallpaper?,
LN23M33WDC_CLU#066,1030,Continuing,down,HS,NA,NA,"wallpaper, nothing",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"WALL, NO",WALL,(no) wallpaper nothing?,Are you planning just to paint the walls and not to put up any wallpaper?,
LN23M33WDC_CLU#067,915,Initiating,up,Null,NA,NA,"wall, what is it",Single,Single,Present,post-predicate (non-reprise & clause-final),Polar,request information,Single,NA,NA,NA,"PT:DET, WALL, WHAT",,that wall what (is it like)?,What's the wall like?,
LN23M33WDC_CLU#068,1955,Continuing,up,"Null, Down",NA,NA,"plaster, plaster-prog",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"WALL, PT:DET, WALL",,(it is) plaster that-one wall?,Has it been plastered?,
LN23M33WDC_CLU#069,1550,Continuing,"down, up","Null, Nod1",NA,NA,"or, wall",NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,"G:WELL, WALL(FALSE-START)",,or wa-- wallpaper (yes),Has it been plastered?,
LN23M33WDC_CLU#070,1075,Continuing,null,Null,NA,NA,"but, light",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BUT, LIGHT02",LIGHT02,but (it is) light-colour?,But it is light in colour now?,
"LN23M33WDC_CLU#073, LN23M33WDC_CLU#074",4990,Continuing,null,Null,NA,NA,"remember, my, bedroom, ceiling, lump",NA,Absent,Present,NA,Polar,request confirmation,Embed,"pre-container, contained",NA,NA,"PT:PRO2SG, REMEMBER, PT:PRO1SG, SLEEP03, PT:DET, CEILING, DSS(FLAT), PT:PRO3SG/PT:LOC, DSS(FLAT)",,"you remember, my bedroom that ceiling lump-there lump-there?",Do you remember the lump on the ceiling in my bedroom?,
LN23M33WDC_CLU#079,1184,Continuing,down,Forward,NA,NA,what think,Single,Absent,Present,NA,Content,request information,Embed,contained,NA,CD:SIGNER,"PT:PRO3SG/PT:LOC, BED/WHAT, THINK, PT:PRO3SG/PT:LOC",,you what think (about) up-there (ceiling)?,I had asked him for his advice and he suggested buying a new plasterboard.,
LN23M33WDC_CLU#099,5555,Continuing,"null, squint","HS , Null",EXPRESSION,NO,"now, have",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO1SG, NOW, PT:LOC, PT:PRO1SG, DSS(FLAT), INDECIPHERABLE, PT:",,"well no, me now my ceiling up-there bumpy you understand?",At the moment there are lumps in places of the ceiling don't you see?,
LN23M33WDC_CLU#108,4190,Continuing,null,Backward,NA,NA,"alcove, have to off",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:LOC, DSS(SMALL_OPEN), DSS(FLAT), REMOVE02","DSS(SMALL_OPEN), DSS(FLAT), REMOVE02",up-there long-thin-object (with) curved-surface (have to) off-remove (the ceiling cornices have to be removed first you know?),But it would mean the coving would need to be removed!,
LN23M33WDC_CLU#113,2115,Initiating,"up, down","Down, HS",NA,NA,"finish, bed, room, finish",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"FINISH, SLEEP03, PT:PRO1SG, FINISH, PT:PRO1SG, INDECIPHERABLE, G:WELL",,"(me) finished (my) bedroom me finished me? (me no, not finished) well",Have I finished my bedroom? I'm nowhere near!,"EM: I think it's an OIR, but a rhetorical question. GH: internal question-response frame"
LN25M76WHC_CLU#003,3239,Initiating,down,Null,NA,NA,"how, deaf, how",Multiple,Multiple,Present,other,Content,request information,Single,NA,NA,NA,"BUT, HOW, DEAF, HOW, PT:PRO2SG","BUT, HOW",but how (you become) deaf how you?,But how did you become deaf?,
LN25M76WHC_CLU#028,186,Continuing-NR,down+squint,HS,NA,NA,NA,NA,Single,Present,other,Other,request information,Embed,contained,NA,CA:SIGNER'S-MOTHER,PT:PRO2SG,FBUOY,you? what?,I had started to get more dizzy that Mum sent me to bed.,
LN25M76WHC_CLU#060,1503,Continuing,"up, null",Null,NA,NA,NA,NA,Absent,Absent,other,Content,request information,Fragment,NA,NA,NA,"PT:PRO2SG, PT:",,me (what about) you --,What about you?,
LN25M76WHC_CLU#061,810,Initiating,up,Nod1,NA,NA,really,NA,Absent,Present,NA,Polar,OIR-open,Fragment,NA,NA,NA,G(NMS):REALLY,,really?,Really? I can only recall the doctor coming in my room when I was dizzy.,
LN25M76WHC_CLU#069,918,Continuing,up,Down,NA,NA,"one, week, same",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"ONE, WEEK, SAME","ONE, WEEK, SAME",(you) one week same?,"Wow, it was the same for you too!",
LN25M76WHC_CLU#077,1435,Continuing,null,Null,NA,NA,what,Single,Single,Present,other,Other,OIR-open,Single,NA,NA,CA:SIGNER'S-PARENTS,WHAT,,(both) unsure-everything-up-in-air uncertain,It must have been very worrying for both my parents that week with everything up in the air.,
LN25M76WHC_CLU#081,2989,Continuing,null,"Nod , Null",NA,NA,"right, one, year, older, than, me, right",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"RIGHT, ONE, YEAR, OLD, PT:PRO1SG, PT:PRO2SG, SAME, PT:PRO1PL-TWO, G:WELL","RIGHT, YEAR, SAME",that's-right (you) one year older (than) me (right) you me-you same (age) well!,That's right so you're a year older than me!,
